notification_id,work_order_id,functional_location,asset_id,notification_date,notification_priority,notification_source,detected_by_team,inspection_route_type,symptom,failure_mode,repeat_failure_code,responsible_discipline,reassigned_discipline,planner_group,notification_status,order_created_date,order_type,order_status,planned_start_date,planned_finish_date,actual_start_date,actual_end_date,replanning_count,closure_code,closure_text,action_type,action_text,defect_confirmed,labor_hours,maintenance_cost,linked_loss_event_id,island,area,system_id,system_name,asset_type,asset_criticality,converted_to_order,closed_without_order,confirmed_closed_without_order,unconfirmed_closed_without_order,recurrent_notification,days_since_previous_same_defect,notification_age_days,days_to_order,execution_lead_days,active_backlog,risk_class,risk_sort_order,defect_status,maintenance_response_state
N0000001,WO0000001,PLT-RU-CAU-GLH,FV-CAU-GLH-01,2023-01-01,3,Planned Inspection,Causticizing - Inspection,Planned Inspection,Actuator supply pressure decays while held.,ACTUATOR_LEAKAGE,ACTUATOR_LEAKAGE,Valves,Instrumentation,CAU-INSTRUMENTATION,Closed,2023-01-05,PM02,Completed,2023-01-19,2023-01-21,2023-01-19,2023-01-21,0,WORK_COMPLETED,Corrective scope executed and checked.,Seal replacement,Seal replacement performed; post-work functional check within tolerance.,TRUE,10.38,6044.22,,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLH,Green Liquor Handling,Control Valve,B,TRUE,FALSE,FALSE,FALSE,FALSE,,1049,4,20,FALSE,R7,7,Defect,COMPLETED_CORRECTIVE_ACTION
N0000002,WO0000002,PLT-RU-EVA-CON,M-EVA-CON-01,2023-01-01,2,Operator Route,Evaporation - Operations,Sensory Route,Localized heating at electrical connection.,TERMINAL_HEATING,TERMINAL_HEATING,Electrical,,EVA-ELECTRICAL,Closed,2023-01-03,PM02,Completed,2023-02-22,2023-02-22,2023-02-22,2023-02-22,2,WORK_COMPLETED,Corrective scope executed and checked.,Tightening,Tightening performed; post-work functional check within tolerance.,TRUE,3.60,883.02,,Recovery & Utilities,Evaporation,SYS-RU-EVA-CON,Condensate System,Motor,B,TRUE,FALSE,FALSE,FALSE,FALSE,,1049,2,52,FALSE,R4,4,Defect almost failure,COMPLETED_CORRECTIVE_ACTION
N0000003,WO0000003,PLT-RU-CAU-SLK,SLK-CAU-SLK-01,2023-01-01,2,Operator Report,Causticizing - Operations,,Mechanism travel is uneven with elevated resistance.,MECHANICAL_BINDING,MECHANICAL_BINDING,Mechanical,Lubrication,CAU-LUBRICATION,Closed,2023-01-02,PM02,Completed,2023-01-20,2023-01-21,2023-01-20,2023-01-21,1,WORK_COMPLETED,Corrective scope executed and checked.,Adjustment,Adjustment performed; post-work functional check within tolerance.,TRUE,6.46,2311.01,,Recovery & Utilities,Causticizing,SYS-RU-CAU-SLK,Slaking,Slaker,A,TRUE,FALSE,FALSE,FALSE,FALSE,,1049,1,20,FALSE,R2,2,Defect almost failure,COMPLETED_CORRECTIVE_ACTION
N0000004,WO0000004,PLT-RU-EVA-CIR,PT-EVA-CIR-01,2023-01-03,2,Operator Report,Evaporation - Operations,,Indicated value drifts from independent reference.,SIGNAL_DRIFT,SIGNAL_DRIFT,Instrumentation,,EVA-INSTRUMENTATION,Closed,2023-01-06,PM02,Completed,2023-02-07,2023-02-08,2023-02-07,2023-02-08,2,NO_DEFECT_FOUND,Inspection could not confirm the reported abnormality.,Inspection only,Inspected and recorded readings; no component correction performed.,FALSE,1.47,253.91,,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,Pressure Transmitter,C,TRUE,FALSE,FALSE,FALSE,FALSE,,1047,3,36,FALSE,R8,8,Defect almost failure,OTHER_CLOSED
N0000005,WO0000005,PLT-RU-UTL-CWT,PT-UTL-CWT-01,2023-01-03,3,Planned Inspection,Utilities - Inspection,Planned Inspection,Intermittent signal dropout at stable process conditions.,INTERMITTENT_SIGNAL,INTERMITTENT_SIGNAL,Automation,Instrumentation,UTL-INSTRUMENTATION,Closed,2023-01-05,PM02,Completed,2023-02-07,2023-02-09,2023-02-07,2023-02-09,0,WORK_COMPLETED,Corrective scope executed and checked.,Instrument replacement,Instrument replacement performed; post-work functional check within tolerance.,TRUE,4.26,3455.72,,Recovery & Utilities,Utilities,SYS-RU-UTL-CWT,Cooling Water,Pressure Transmitter,B,TRUE,FALSE,FALSE,FALSE,FALSE,,1047,2,37,FALSE,R7,7,Defect,COMPLETED_CORRECTIVE_ACTION
N0000006,WO0000006,PLT-RU-CAU-REA,LT-CAU-REA-01,2023-01-04,3,Planned Inspection,Causticizing - Inspection,Planned Inspection,Measured output outside calibration tolerance.,CALIBRATION_DEVIATION,CALIBRATION_DEVIATION,Instrumentation,Automation,CAU-AUTOMATION,Closed,2023-01-04,PM02,Completed,2023-01-29,2023-01-29,2023-01-29,2023-01-29,0,NO_DEFECT_FOUND,Inspection could not confirm the reported abnormality.,Inspection only,Inspected and recorded readings; no component correction performed.,FALSE,0.69,191.73,,Recovery & Utilities,Causticizing,SYS-RU-CAU-REA,Causticizing Reactors,Level Transmitter,B,TRUE,FALSE,FALSE,FALSE,FALSE,,1046,0,25,FALSE,R7,7,Defect,OTHER_CLOSED
N0000007,WO0000007,PLT-RU-EVA-CIR,P-EVA-CIR-01,2023-01-04,3,Condition Monitoring,Evaporation - Condition Monitoring,Predictive Route,Oil sample shows elevated contamination.,OIL_CONTAMINATION,OIL_CONTAMINATION,Lubrication,,EVA-LUBRICATION,Closed,2023-01-05,PM02,Completed,2023-03-02,2023-03-03,2023-03-02,2023-03-03,1,WORK_COMPLETED,Corrective scope executed and checked.,Lubrication,Lubrication performed; post-work functional check within tolerance.,TRUE,6.06,3101.12,,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,Pump,B,TRUE,FALSE,FALSE,FALSE,FALSE,,1046,1,58,FALSE,R7,7,Defect,COMPLETED_CORRECTIVE_ACTION
N0000008,,PLT-RU-UTL-ELD,CB-UTL-ELD-01,2023-01-05,3,Maintenance Sensory Route,Utilities - Maintenance Route A,Sensory Route,Control sequence response differs from approved logic.,CONTROL_SEQUENCE_DEVIATION,CONTROL_SEQUENCE_DEVIATION,Electrical,,UTL-ELECTRICAL,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.17,262.67,,Recovery & Utilities,Utilities,SYS-RU-UTL-ELD,Electrical Distribution,Circuit Breaker,A,FALSE,TRUE,TRUE,FALSE,FALSE,,1045,,,FALSE,R5,5,Defect,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000009,,PLT-FL-DRY-PRS,HY-DRY-PRS-01,2023-01-05,3,Maintenance Sensory Route,Drying - Maintenance Route A,Sensory Route,Hydraulic pressure decays with no external leak.,HYD_INTERNAL_LEAKAGE,HYD_INTERNAL_LEAKAGE,Instrumentation,,DRY-INSTRUMENTATION,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.75,354.20,,Fiber Line,Drying,SYS-FL-DRY-PRS,Press Section,Hydraulic Actuator,A,FALSE,TRUE,TRUE,FALSE,FALSE,,1045,,,FALSE,R5,5,Defect,CLOSED_CONFIRMED_WITHOUT_ORDER
N0000010,WO0000008,PLT-FL-DIG-DIS,P-DIG-DIS-01,2023-01-05,3,Operator Route,Digester - Operations,Sensory Route,Delivered flow below expected operating range.,LOW_FLOW,LOW_FLOW,Mechanical,,DIG-MECHANICAL,Closed,2023-01-09,PM02,Completed,2023-04-08,2023-04-08,2023-04-08,2023-04-08,5,WORK_COMPLETED,Corrective scope executed and checked.,Cleaning,Cleaning performed; post-work functional check within tolerance.,TRUE,9.02,2660.52,,Fiber Line,Digester,SYS-FL-DIG-DIS,Digester Discharge,Pump,A,TRUE,FALSE,FALSE,FALSE,FALSE,,1045,4,93,FALSE,R5,5,Defect,COMPLETED_CORRECTIVE_ACTION
