plant,island,area,system_id,system_name,functional_location,asset_id,asset_type,asset_description,primary_discipline,possible_disciplines,asset_criticality,criticality_basis
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-CHP,Chip Feeding,PLT-FL-DIG-CHP,CNV-DIG-CHP-01,Conveyor,Chip feed conveyor,Mechanical,Mechanical;Electrical;Condition Monitoring,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-CHP,Chip Feeding,PLT-FL-DIG-CHP,M-DIG-CHP-01,Motor,Chip feed conveyor motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-CHP,Chip Feeding,PLT-FL-DIG-CHP,XV-DIG-CHP-01,On/Off Valve,Chip feed isolation valve,Valves,Valves;Instrumentation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-CHP,Chip Feeding,PLT-FL-DIG-CHP,ZS-DIG-CHP-01,Position Switch,Chip feed position switch,Instrumentation,Instrumentation;Automation,B,"Failure can significantly degrade the system or area, but does not normally stop the whole mill."
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-IMP,Impregnation,PLT-FL-DIG-IMP,P-DIG-IMP-01,Pump,Impregnation circulation pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-IMP,Impregnation,PLT-FL-DIG-IMP,M-DIG-IMP-01,Motor,Impregnation pump motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-IMP,Impregnation,PLT-FL-DIG-IMP,FV-DIG-IMP-01,Control Valve,Impregnation flow control valve,Valves,Valves;Instrumentation,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-IMP,Impregnation,PLT-FL-DIG-IMP,FT-DIG-IMP-01,Flow Transmitter,Impregnation flow transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,PLT-FL-DIG-CIR,P-DIG-CIR-01,Pump,Cooking circulation pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,PLT-FL-DIG-CIR,M-DIG-CIR-01,Motor,Cooking circulation pump motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,PLT-FL-DIG-CIR,FV-DIG-CIR-01,Control Valve,Cooking circulation control valve,Valves,Valves;Instrumentation,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,PLT-FL-DIG-CIR,PT-DIG-CIR-01,Pressure Transmitter,Cooking circulation pressure transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,PLT-FL-DIG-CIR,TT-DIG-CIR-01,Temperature Transmitter,Cooking circulation temperature transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-DIS,Digester Discharge,PLT-FL-DIG-DIS,P-DIG-DIS-01,Pump,Digester discharge pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-DIS,Digester Discharge,PLT-FL-DIG-DIS,M-DIG-DIS-01,Motor,Digester discharge pump motor,Electrical,Electrical;Condition Monitoring;Lubrication,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-DIS,Digester Discharge,PLT-FL-DIG-DIS,XV-DIG-DIS-01,On/Off Valve,Digester discharge isolation valve,Valves,Valves;Instrumentation,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-DIS,Digester Discharge,PLT-FL-DIG-DIS,LT-DIG-DIS-01,Level Transmitter,Digester discharge level transmitter,Instrumentation,Instrumentation;Automation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-BLC,Blow / Pressure Control,PLT-FL-DIG-BLC,PV-DIG-BLC-01,Control Valve,Digester pressure control valve,Valves,Valves;Instrumentation,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-BLC,Blow / Pressure Control,PLT-FL-DIG-BLC,PT-DIG-BLC-01,Pressure Transmitter,Digester pressure transmitter,Instrumentation,Instrumentation;Automation,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-BLC,Blow / Pressure Control,PLT-FL-DIG-BLC,XV-DIG-BLC-01,On/Off Valve,Digester blow isolation valve,Valves,Valves;Instrumentation,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Digester,SYS-FL-DIG-BLC,Blow / Pressure Control,PLT-FL-DIG-BLC,PSHH-DIG-BLC-01,Pressure Switch,High-high pressure protection switch,Instrumentation,Instrumentation;Automation,A,Single-point failure can stop or severely restrict a critical production line with direct mill production impact.
Synthetic Pulp Mill,Fiber Line,Washing & Screening,SYS-FL-WSH-BSW,Brownstock Washing,PLT-FL-WSH-BSW,P-WSH-BSW-01,Pump,Brownstock washer feed pump,Mechanical,Mechanical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Washing & Screening,SYS-FL-WSH-BSW,Brownstock Washing,PLT-FL-WSH-BSW,M-WSH-BSW-01,Motor,Brownstock washer pump motor,Electrical,Electrical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Washing & Screening,SYS-FL-WSH-BSW,Brownstock Washing,PLT-FL-WSH-BSW,DRV-WSH-BSW-01,Drive,Brownstock washer drive,Mechanical,Mechanical;Electrical;Condition Monitoring;Lubrication,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
Synthetic Pulp Mill,Fiber Line,Washing & Screening,SYS-FL-WSH-BSW,Brownstock Washing,PLT-FL-WSH-BSW,FV-WSH-BSW-01,Control Valve,Brownstock washer flow control valve,Valves,Valves;Instrumentation,B,"Failure can stop or materially restrict the local area/system, with limited effect on total mill production or some buffering/redundancy."
