loss_event_id,campaign_id,event_start_datetime,event_end_datetime,duration_hours,island,area,system_id,system_name,functional_location,asset_id,impact_scope,event_type,cause_category,failure_mode,event_description,root_cause_status,baseline_rate_adt_day,actual_rate_adt_day,production_loss_adt,operations_comment,history_coverage_eligible,maintenance_context,prior_confirmed_notification_count_180d,latest_prior_notification_id,latest_prior_notification_date,latest_prior_responsible_discipline,latest_prior_work_order_id,latest_prior_closure_code,latest_prior_action_type,latest_prior_risk_class,latest_prior_risk_sort_order,days_from_latest_notification_to_loss,latest_completed_corrective_notification_id,latest_completed_corrective_date,days_from_corrective_completion_to_loss
LE000001,C1,2023-01-10T06:15:00,2023-01-10T09:45:00,3.50,Recovery & Utilities,Causticizing,SYS-RU-CAU-SLK,Slaking,PLT-RU-CAU-SLK,SLK-CAU-SLK-01,System,Production Rate Reduction,Equipment Failure,PROCESS_RESTRICTION,Process differential pressure above normal operating range; mill throughput reduced during stabilization.,Confirmed,4257.11,3237.60,148.68,Throughput was limited until operating conditions stabilized.,FALSE,INSUFFICIENT_HISTORY,0,,,,,,,,,,,,
LE000002,C1,2023-01-11T09:00:00,2023-01-11T11:00:00,2.00,Fiber Line,Bleaching,SYS-FL-BLE-CHM,Chemical Mixing,PLT-FL-BLE-CHM,M-BLE-CHM-01,System,Production Rate Reduction,Equipment Failure,MOTOR_OVERHEATING,Motor temperature rising at normal load; mill throughput reduced during stabilization.,Probable,4234.11,3645.96,49.01,Throughput was limited until operating conditions stabilized.,FALSE,INSUFFICIENT_HISTORY,0,,,,,,,,,,,,
LE000003,C1,2023-01-12T20:15:00,2023-01-12T22:30:00,2.25,Fiber Line,Drying,SYS-FL-DRY-DRS,Dryer Section,PLT-FL-DRY-DRS,,Mill,Production Rate Reduction,Utility Constraint,STEAM_PRESSURE_CONSTRAINT,Available steam pressure limited mill throughput; mill throughput reduced during stabilization.,Probable,4413.29,4031.10,35.83,Throughput was limited until operating conditions stabilized.,FALSE,SYSTEM_PROCESS_EVENT,0,,,,,,,,,,,,
LE000004,C1,2023-01-14T21:00:00,2023-01-15T00:30:00,3.50,Recovery & Utilities,Causticizing,SYS-RU-CAU-LMH,Lime Mud Handling,PLT-RU-CAU-LMH,,System,Production Rate Reduction,Process Upset,PROCESS_INSTABILITY,Process oscillations required reduced mill throughput; mill throughput reduced during stabilization.,Under Investigation,4327.93,3045.47,187.03,Throughput was limited until operating conditions stabilized.,FALSE,SYSTEM_PROCESS_EVENT,0,,,,,,,,,,,,
LE000005,C1,2023-01-16T21:15:00,2023-01-16T22:45:00,1.50,Fiber Line,Washing & Screening,SYS-FL-WSH-FIL,Filtrate System,PLT-FL-WSH-FIL,,System,Production Rate Reduction,Process Upset,PROCESS_INSTABILITY,Process oscillations required reduced mill throughput; mill throughput reduced during stabilization.,Confirmed,4181.42,3320.20,53.83,Throughput was limited until operating conditions stabilized.,FALSE,SYSTEM_PROCESS_EVENT,0,,,,,,,,,,,,
LE000006,C1,2023-01-21T06:45:00,2023-01-21T07:45:00,1.00,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-IDF,Induced Draft,PLT-RU-LIM-IDF,DV-LIM-IDF-01,Area,Area Shutdown,Instrumentation / Control,INTERMITTENT_SIGNAL,Intermittent signal dropout at stable process conditions; area operation stopped and mill output reduced.,Probable,4150.12,1092.59,127.40,Available buffers were used while the affected area recovered.,FALSE,KNOWN_UNTREATED_DEFECT,1,N0000020,2023-01-14,Automation,,MONITOR_CONDITION,Inspection only,R7,7,7,,,
LE000007,C1,2023-02-05T05:00:00,2023-02-05T11:45:00,6.75,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLC,Green Liquor Clarification,PLT-RU-CAU-GLC,,Area,Area Shutdown,Process Upset,PROCESS_RESTRICTION,Process restriction limited transfer capacity; area operation stopped and mill output reduced.,Probable,4347.08,929.71,961.14,Available buffers were used while the affected area recovered.,FALSE,SYSTEM_PROCESS_EVENT,0,,,,,,,,,,,,
LE000008,C1,2023-02-08T18:15:00,2023-02-08T21:15:00,3.00,Recovery & Utilities,Utilities,SYS-RU-UTL-BFW,Boiler Feedwater,PLT-RU-UTL-BFW,P-UTL-BFW-01,System,Production Rate Reduction,Equipment Failure,CAVITATION,Crackling noise and unstable suction pressure; mill throughput reduced during stabilization.,Confirmed,4251.74,2970.64,160.14,Throughput was limited until operating conditions stabilized.,FALSE,KNOWN_UNTREATED_DEFECT,1,N0000027,2023-01-20,Condition Monitoring,WO0000014,WORK_COMPLETED,Cleaning,R5,5,19,,,
LE000009,C1,2023-02-10T16:45:00,2023-02-11T02:15:00,9.50,Fiber Line,Digester,SYS-FL-DIG-CHP,Chip Feeding,PLT-FL-DIG-CHP,M-DIG-CHP-01,System,Production Rate Reduction,Equipment Failure,TERMINAL_HEATING,Localized heating at electrical connection; mill throughput reduced during stabilization.,Probable,4200.31,3638.18,222.51,Throughput was limited until operating conditions stabilized.,FALSE,INSUFFICIENT_HISTORY,0,,,,,,,,,,,,
LE000010,C1,2023-03-01T15:15:00,2023-03-01T17:45:00,2.50,Recovery & Utilities,Utilities,SYS-RU-UTL-ELD,Electrical Distribution,PLT-RU-UTL-ELD,CB-UTL-ELD-01,Area,Area Shutdown,Instrumentation / Control,INTERMITTENT_SIGNAL,Intermittent signal dropout at stable process conditions; area operation stopped and mill output reduced.,Confirmed,4184.66,1438.87,286.02,Available buffers were used while the affected area recovered.,FALSE,INSUFFICIENT_HISTORY,0,,,,,,,,,,,,
