location_rank,functional_location,island,area,system_id,system_name,production_loss_event_count,total_production_loss_adt,share_of_total_loss,cumulative_share_of_total_loss,maintenance_notification_count,confirmed_defect_count,active_backlog_count,known_untreated_loss_event_count,known_untreated_loss_adt,post_maintenance_recurrence_event_count,post_maintenance_recurrence_loss_adt
1,PLT-RU-CAU-WLC,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,12,18739.32,0.175879,0.175879,41,40,2,7,17839.14,0,0.00
2,PLT-FL-DIG-CIR,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,10,15486.65,0.145351,0.321230,39,36,2,7,14157.28,0,0.00
3,PLT-RU-RB-BLF,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-BLF,Black Liquor Firing,9,9710.55,0.091139,0.412369,28,24,0,1,2639.04,1,120.89
4,PLT-FL-DRY-HYD,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,8,8419.37,0.079021,0.491390,28,27,3,6,8192.60,1,206.74
5,PLT-RU-EVA-CIR,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,14,4498.56,0.042222,0.533612,32,28,0,4,516.26,2,1412.51
6,PLT-FL-DIG-IMP,Fiber Line,Digester,SYS-FL-DIG-IMP,Impregnation,6,3780.53,0.035482,0.569094,22,18,1,0,0.00,2,851.98
7,PLT-FL-BLE-DOS,Fiber Line,Bleaching,SYS-FL-BLE-DOS,Chemical Dosing,8,3745.12,0.035150,0.604244,28,22,0,2,492.08,0,0.00
8,PLT-FL-DIG-CHP,Fiber Line,Digester,SYS-FL-DIG-CHP,Chip Feeding,7,2609.17,0.024489,0.628733,28,23,1,1,274.56,1,146.22
9,PLT-RU-CAU-LMH,Recovery & Utilities,Causticizing,SYS-RU-CAU-LMH,Lime Mud Handling,6,2420.65,0.022719,0.651452,28,24,0,0,0.00,0,0.00
10,PLT-RU-UTL-STM,Recovery & Utilities,Utilities,SYS-RU-UTL-STM,Steam Distribution,3,2201.70,0.020664,0.672116,20,15,1,1,714.02,0,0.00
11,PLT-RU-RB-SMT,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SMT,Smelt Handling,6,2181.83,0.020478,0.692594,26,25,0,0,0.00,1,359.51
12,PLT-FL-DIG-BLC,Fiber Line,Digester,SYS-FL-DIG-BLC,Blow / Pressure Control,8,2117.20,0.019871,0.712465,31,26,0,0,0.00,0,0.00
13,PLT-FL-BLE-TWR,Fiber Line,Bleaching,SYS-FL-BLE-TWR,Bleaching Towers,5,2036.07,0.019110,0.731575,28,23,0,2,1092.98,0,0.00
14,PLT-RU-LIM-DRV,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-DRV,Kiln Drive,6,2011.44,0.018879,0.750453,22,13,1,1,1424.57,1,128.37
15,PLT-RU-LIM-LMF,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-LMF,Lime Mud Feed,11,1918.88,0.018010,0.768463,24,20,2,1,131.50,2,251.19
16,PLT-FL-DRY-DRS,Fiber Line,Drying,SYS-FL-DRY-DRS,Dryer Section,6,1885.86,0.017700,0.786163,30,26,1,3,1160.46,1,496.71
17,PLT-RU-LIM-IDF,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-IDF,Induced Draft,10,1699.38,0.015950,0.802112,18,17,0,4,538.39,0,0.00
18,PLT-RU-EVA-VAC,Recovery & Utilities,Evaporation,SYS-RU-EVA-VAC,Vacuum System,4,1550.99,0.014557,0.816669,17,16,0,2,339.05,0,0.00
19,PLT-RU-UTL-ELD,Recovery & Utilities,Utilities,SYS-RU-UTL-ELD,Electrical Distribution,6,1375.08,0.012906,0.829575,28,22,1,0,0.00,0,0.00
20,PLT-RU-UTL-BFW,Recovery & Utilities,Utilities,SYS-RU-UTL-BFW,Boiler Feedwater,4,1249.24,0.011725,0.841300,26,19,1,2,299.22,0,0.00
21,PLT-RU-CAU-GLC,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLC,Green Liquor Clarification,3,1248.48,0.011718,0.853018,24,20,0,0,0.00,0,0.00
22,PLT-FL-DIG-DIS,Fiber Line,Digester,SYS-FL-DIG-DIS,Digester Discharge,5,1110.67,0.010424,0.863442,29,26,1,1,151.37,1,44.52
23,PLT-RU-CAU-SLK,Recovery & Utilities,Causticizing,SYS-RU-CAU-SLK,Slaking,3,1029.88,0.009666,0.873108,25,22,0,0,0.00,0,0.00
24,PLT-RU-CAU-REA,Recovery & Utilities,Causticizing,SYS-RU-CAU-REA,Causticizing Reactors,4,1020.50,0.009578,0.882686,28,26,2,1,439.53,0,0.00
25,PLT-RU-EVA-CON,Recovery & Utilities,Evaporation,SYS-RU-EVA-CON,Condensate System,7,1014.16,0.009518,0.892204,11,10,1,0,0.00,2,237.81
26,PLT-FL-DRY-FOR,Fiber Line,Drying,SYS-FL-DRY-FOR,Forming Section,3,975.50,0.009156,0.901360,26,21,0,0,0.00,0,0.00
27,PLT-RU-UTL-PWT,Recovery & Utilities,Utilities,SYS-RU-UTL-PWT,Process Water,6,955.24,0.008965,0.910326,24,19,2,1,65.79,0,0.00
28,PLT-RU-CAU-GLH,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLH,Green Liquor Handling,1,947.49,0.008893,0.919218,16,15,0,0,0.00,1,947.49
29,PLT-FL-DRY-PRS,Fiber Line,Drying,SYS-FL-DRY-PRS,Press Section,3,927.69,0.008707,0.927925,28,22,2,1,179.78,0,0.00
30,PLT-RU-RB-STM,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-STM,Steam / Pressure Control,7,919.53,0.008630,0.936556,33,28,0,1,114.76,2,253.41
31,PLT-RU-RB-SBL,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SBL,Sootblowing,3,783.97,0.007358,0.943914,15,11,0,1,282.96,0,0.00
32,PLT-RU-LIM-BRN,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-BRN,Burner System,5,709.22,0.006656,0.950570,18,16,0,1,201.91,1,21.60
33,PLT-RU-RB-AIR,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-AIR,Combustion Air,4,707.69,0.006642,0.957212,21,17,0,0,0.00,1,374.21
34,PLT-RU-RB-FWS,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-FWS,Feedwater System,3,698.84,0.006559,0.963771,28,25,1,0,0.00,1,315.37
35,PLT-RU-EVA-BLF,Recovery & Utilities,Evaporation,SYS-RU-EVA-BLF,Black Liquor Feed,3,516.93,0.004852,0.968623,25,22,1,3,516.93,0,0.00
36,PLT-FL-DRY-LUB,Fiber Line,Drying,SYS-FL-DRY-LUB,Lubrication System,4,484.66,0.004549,0.973172,28,23,2,1,28.42,0,0.00
37,PLT-FL-WSH-KNR,Fiber Line,Washing & Screening,SYS-FL-WSH-KNR,Knot Removal,4,423.12,0.003971,0.977143,25,14,0,2,316.82,0,0.00
38,PLT-FL-BLE-CHM,Fiber Line,Bleaching,SYS-FL-BLE-CHM,Chemical Mixing,4,395.95,0.003716,0.980859,32,27,1,0,0.00,1,136.20
39,PLT-FL-DRY-PMF,Fiber Line,Drying,SYS-FL-DRY-PMF,Pulp Machine Feed,3,379.16,0.003559,0.984418,20,15,1,0,0.00,0,0.00
40,PLT-RU-UTL-AIR,Recovery & Utilities,Utilities,SYS-RU-UTL-AIR,Compressed Air,2,368.14,0.003455,0.987873,34,31,2,0,0.00,1,199.39
41,PLT-FL-WSH-SCR,Fiber Line,Washing & Screening,SYS-FL-WSH-SCR,Screening,3,331.75,0.003114,0.990986,37,21,4,2,224.22,0,0.00
42,PLT-FL-BLE-STW,Fiber Line,Bleaching,SYS-FL-BLE-STW,Stage Washing,5,310.81,0.002917,0.993904,27,24,1,2,105.10,0,0.00
43,PLT-FL-WSH-BSW,Fiber Line,Washing & Screening,SYS-FL-WSH-BSW,Brownstock Washing,1,285.98,0.002684,0.996588,27,13,0,0,0.00,1,285.98
44,PLT-FL-DRY-SHT,Fiber Line,Drying,SYS-FL-DRY-SHT,Sheet Handling / Cutter,2,204.30,0.001917,0.998505,14,11,0,2,204.30,0,0.00
45,PLT-RU-UTL-CWT,Recovery & Utilities,Utilities,SYS-RU-UTL-CWT,Cooling Water,2,105.44,0.000990,0.999495,22,19,0,0,0.00,0,0.00
46,PLT-FL-WSH-FIL,Fiber Line,Washing & Screening,SYS-FL-WSH-FIL,Filtrate System,1,53.83,0.000505,1.000000,39,21,1,0,0.00,0,0.00
