notification_id,work_order_id,functional_location,asset_id,notification_date,notification_priority,notification_source,detected_by_team,inspection_route_type,symptom,failure_mode,repeat_failure_code,responsible_discipline,reassigned_discipline,planner_group,notification_status,order_created_date,order_type,order_status,planned_start_date,planned_finish_date,actual_start_date,actual_end_date,replanning_count,closure_code,closure_text,action_type,action_text,defect_confirmed,labor_hours,maintenance_cost,linked_loss_event_id
N0000001,WO0000001,PLT-RU-CAU-GLH,FV-CAU-GLH-01,2023-01-01,3,Planned Inspection,Causticizing - Inspection,Planned Inspection,Actuator supply pressure decays while held.,ACTUATOR_LEAKAGE,ACTUATOR_LEAKAGE,Valves,Instrumentation,CAU-INSTRUMENTATION,Closed,2023-01-05,PM02,Completed,2023-01-19,2023-01-21,2023-01-19,2023-01-21,0,WORK_COMPLETED,Corrective scope executed and checked.,Seal replacement,Seal replacement performed; post-work functional check within tolerance.,TRUE,10.38,6044.22,
N0000002,WO0000002,PLT-RU-EVA-CON,M-EVA-CON-01,2023-01-01,2,Operator Route,Evaporation - Operations,Sensory Route,Localized heating at electrical connection.,TERMINAL_HEATING,TERMINAL_HEATING,Electrical,,EVA-ELECTRICAL,Closed,2023-01-03,PM02,Completed,2023-02-22,2023-02-22,2023-02-22,2023-02-22,2,WORK_COMPLETED,Corrective scope executed and checked.,Tightening,Tightening performed; post-work functional check within tolerance.,TRUE,3.60,883.02,
N0000003,WO0000003,PLT-RU-CAU-SLK,SLK-CAU-SLK-01,2023-01-01,2,Operator Report,Causticizing - Operations,,Mechanism travel is uneven with elevated resistance.,MECHANICAL_BINDING,MECHANICAL_BINDING,Mechanical,Lubrication,CAU-LUBRICATION,Closed,2023-01-02,PM02,Completed,2023-01-20,2023-01-21,2023-01-20,2023-01-21,1,WORK_COMPLETED,Corrective scope executed and checked.,Adjustment,Adjustment performed; post-work functional check within tolerance.,TRUE,6.46,2311.01,
N0000004,WO0000004,PLT-RU-EVA-CIR,PT-EVA-CIR-01,2023-01-03,2,Operator Report,Evaporation - Operations,,Indicated value drifts from independent reference.,SIGNAL_DRIFT,SIGNAL_DRIFT,Instrumentation,,EVA-INSTRUMENTATION,Closed,2023-01-06,PM02,Completed,2023-02-07,2023-02-08,2023-02-07,2023-02-08,2,NO_DEFECT_FOUND,Inspection could not confirm the reported abnormality.,Inspection only,Inspected and recorded readings; no component correction performed.,FALSE,1.47,253.91,
N0000005,WO0000005,PLT-RU-UTL-CWT,PT-UTL-CWT-01,2023-01-03,3,Planned Inspection,Utilities - Inspection,Planned Inspection,Intermittent signal dropout at stable process conditions.,INTERMITTENT_SIGNAL,INTERMITTENT_SIGNAL,Automation,Instrumentation,UTL-INSTRUMENTATION,Closed,2023-01-05,PM02,Completed,2023-02-07,2023-02-09,2023-02-07,2023-02-09,0,WORK_COMPLETED,Corrective scope executed and checked.,Instrument replacement,Instrument replacement performed; post-work functional check within tolerance.,TRUE,4.26,3455.72,
N0000006,WO0000006,PLT-RU-CAU-REA,LT-CAU-REA-01,2023-01-04,3,Planned Inspection,Causticizing - Inspection,Planned Inspection,Measured output outside calibration tolerance.,CALIBRATION_DEVIATION,CALIBRATION_DEVIATION,Instrumentation,Automation,CAU-AUTOMATION,Closed,2023-01-04,PM02,Completed,2023-01-29,2023-01-29,2023-01-29,2023-01-29,0,NO_DEFECT_FOUND,Inspection could not confirm the reported abnormality.,Inspection only,Inspected and recorded readings; no component correction performed.,FALSE,0.69,191.73,
N0000007,WO0000007,PLT-RU-EVA-CIR,P-EVA-CIR-01,2023-01-04,3,Condition Monitoring,Evaporation - Condition Monitoring,Predictive Route,Oil sample shows elevated contamination.,OIL_CONTAMINATION,OIL_CONTAMINATION,Lubrication,,EVA-LUBRICATION,Closed,2023-01-05,PM02,Completed,2023-03-02,2023-03-03,2023-03-02,2023-03-03,1,WORK_COMPLETED,Corrective scope executed and checked.,Lubrication,Lubrication performed; post-work functional check within tolerance.,TRUE,6.06,3101.12,
N0000008,,PLT-RU-UTL-ELD,CB-UTL-ELD-01,2023-01-05,3,Maintenance Sensory Route,Utilities - Maintenance Route A,Sensory Route,Control sequence response differs from approved logic.,CONTROL_SEQUENCE_DEVIATION,CONTROL_SEQUENCE_DEVIATION,Electrical,,UTL-ELECTRICAL,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.17,262.67,
N0000009,,PLT-FL-DRY-PRS,HY-DRY-PRS-01,2023-01-05,3,Maintenance Sensory Route,Drying - Maintenance Route A,Sensory Route,Hydraulic pressure decays with no external leak.,HYD_INTERNAL_LEAKAGE,HYD_INTERNAL_LEAKAGE,Instrumentation,,DRY-INSTRUMENTATION,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.75,354.20,
N0000010,WO0000008,PLT-FL-DIG-DIS,P-DIG-DIS-01,2023-01-05,3,Operator Route,Digester - Operations,Sensory Route,Delivered flow below expected operating range.,LOW_FLOW,LOW_FLOW,Mechanical,,DIG-MECHANICAL,Closed,2023-01-09,PM02,Completed,2023-04-08,2023-04-08,2023-04-08,2023-04-08,5,WORK_COMPLETED,Corrective scope executed and checked.,Cleaning,Cleaning performed; post-work functional check within tolerance.,TRUE,9.02,2660.52,
N0000011,,PLT-FL-DIG-CIR,PT-DIG-CIR-01,2023-01-05,2,Operator Report,Digester - Operations,,Intermittent signal dropout at stable process conditions.,INTERMITTENT_SIGNAL,INTERMITTENT_SIGNAL,Automation,,DIG-AUTOMATION,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.85,214.47,
N0000012,,PLT-FL-WSH-SCR,P-WSH-SCR-01,2023-01-06,3,Operator Report,Washing & Screening - Operations,,Crackling noise and unstable suction pressure.,CAVITATION,CAVITATION,Mechanical,,WSH-MECHANICAL,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.80,192.77,
N0000013,WO0000009,PLT-RU-EVA-CON,M-EVA-CON-01,2023-01-07,2,Planned Inspection,Evaporation - Inspection,Planned Inspection,Insulation test trending below reference.,INSULATION_DEGRADATION,INSULATION_DEGRADATION,Electrical,,EVA-ELECTRICAL,Closed,2023-01-10,PM02,Completed,2023-01-26,2023-01-28,2023-01-26,2023-01-28,1,WORK_COMPLETED,Corrective scope executed and checked.,Component replacement,Component replacement performed; post-work functional check within tolerance.,TRUE,19.79,19061.30,
N0000014,WO0000010,PLT-RU-RB-STM,TT-RB-STM-01,2023-01-10,3,Operator Route,Recovery Boiler - Operations,Sensory Route,Intermittent signal dropout at stable process conditions.,INTERMITTENT_SIGNAL,INTERMITTENT_SIGNAL,Automation,,RB-AUTOMATION,Closed,2023-01-12,PM02,Completed,2023-04-04,2023-04-04,2023-04-04,2023-04-04,5,WORK_COMPLETED,Corrective scope executed and checked.,Instrument replacement,Instrument replacement performed; post-work functional check within tolerance.,TRUE,5.89,4782.76,
N0000015,,PLT-FL-BLE-STW,FV-BLE-STW-01,2023-01-11,3,Process Alarm,Bleaching - Control Room,Process / Control Monitoring,Visible leakage at valve packing.,EXTERNAL_LEAKAGE,EXTERNAL_LEAKAGE,Instrumentation,,BLE-INSTRUMENTATION,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.63,329.27,
N0000016,WO0000011,PLT-RU-UTL-CWT,P-UTL-CWT-01,2023-01-11,3,Maintenance Sensory Route,Utilities - Maintenance Route A,Sensory Route,Bearing temperature trending above baseline.,BEARING_TEMPERATURE,BEARING_TEMPERATURE,Mechanical,Lubrication,UTL-LUBRICATION,Closed,2023-01-15,PM02,Completed,2023-01-30,2023-01-31,2023-01-30,2023-01-31,0,WORK_COMPLETED,Corrective scope executed and checked.,Bearing replacement,Bearing replacement performed; post-work functional check within tolerance.,TRUE,9.91,7100.16,
N0000017,,PLT-RU-UTL-AIR,CMP-UTL-AIR-01,2023-01-12,3,Operator Report,Utilities - Operations,,Bearing temperature trending above baseline.,BEARING_TEMPERATURE,BEARING_TEMPERATURE,Mechanical,,UTL-MECHANICAL,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,1.07,187.35,
N0000018,,PLT-RU-CAU-GLH,FV-CAU-GLH-01,2023-01-13,3,Operator Report,Causticizing - Operations,,Valve feedback differs from demanded position.,POSITIONER_DEVIATION,POSITIONER_DEVIATION,Valves,,CAU-VALVES,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.97,336.81,
N0000019,WO0000012,PLT-RU-UTL-AIR,DRY-UTL-AIR-01,2023-01-14,3,Operator Route,Utilities - Operations,Sensory Route,Mechanism travel is uneven with elevated resistance.,MECHANICAL_BINDING,MECHANICAL_BINDING,Mechanical,,UTL-MECHANICAL,Closed,2023-01-14,PM02,Completed,2023-02-11,2023-02-13,2023-02-11,2023-02-13,1,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Inspected and recorded readings; no component correction performed.,TRUE,1.74,335.73,
N0000020,,PLT-RU-LIM-IDF,DV-LIM-IDF-01,2023-01-14,3,Operator Route,Lime Kiln - Operations,Sensory Route,Intermittent signal dropout at stable process conditions.,INTERMITTENT_SIGNAL,INTERMITTENT_SIGNAL,Automation,,LIM-AUTOMATION,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.94,234.61,
N0000021,,PLT-FL-DIG-IMP,P-DIG-IMP-01,2023-01-14,2,Maintenance Sensory Route,Digester - Maintenance Route A,Sensory Route,Leakage at shaft seal.,SEAL_LEAKAGE,SEAL_LEAKAGE,Mechanical,,DIG-MECHANICAL,Closed,,,,,,,,,NO_DEFECT_FOUND,Inspection could not confirm the reported abnormality.,Inspection only,Field inspection completed; no corrective maintenance performed.,FALSE,1.75,293.88,
N0000022,,PLT-FL-DIG-CIR,TT-DIG-CIR-01,2023-01-14,3,Planned Inspection,Digester - Inspection,Planned Inspection,Indicated value drifts from independent reference.,SIGNAL_DRIFT,SIGNAL_DRIFT,Instrumentation,,DIG-INSTRUMENTATION,Closed,,,,,,,,,NO_ACTION_REQUIRED,Notification dispositioned without corrective scope.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,1.44,307.71,
N0000023,,PLT-FL-DRY-DRS,PV-DRY-DRS-01,2023-01-15,2,Process Alarm,Drying - Control Room,Process / Control Monitoring,Valve feedback differs from demanded position.,POSITIONER_DEVIATION,POSITIONER_DEVIATION,Valves,,DRY-VALVES,Closed,,,,,,,,,MONITOR_CONDITION,Condition recorded; continue observation without corrective work.,Inspection only,Field inspection completed; no corrective maintenance performed.,TRUE,0.83,189.26,
N0000024,WO0000013,PLT-RU-EVA-CIR,P-EVA-CIR-01,2023-01-16,3,Maintenance Sensory Route,Evaporation - Maintenance Route A,Sensory Route,Lubricant level below normal mark.,LOW_LUBE_LEVEL,LOW_LUBE_LEVEL,Lubrication,,EVA-LUBRICATION,Closed,2023-01-21,PM02,Completed,2023-03-02,2023-03-02,2023-03-02,2023-03-02,0,WORK_COMPLETED,Corrective scope executed and checked.,Lubrication,Lubrication performed; post-work functional check within tolerance.,TRUE,1.77,873.94,
