notification_id,work_order_id,functional_location,asset_id,island,area,system_id,system_name,asset_type,asset_criticality,notification_date,notification_priority,defect_status,risk_class,risk_sort_order,responsible_discipline,failure_mode,notification_status,order_status,replanning_count,notification_age_days,maintenance_response_state
N0001145,WO0000706,PLT-RU-CAU-WLC,FV-CAU-WLC-01,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,Control Valve,A,2025-10-01,1,Fault,R1,1,Valves,VALVE_STICTION,In Progress,Scheduled,5,45,ACTIVE_WORK_ORDER
N0001146,WO0000707,PLT-FL-DRY-HYD,HPU-DRY-HYD-01,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,Hydraulic Power Unit,A,2025-10-01,1,Fault,R1,1,Hydraulics,HYD_PRESS_INSTABILITY,In Progress,Scheduled,5,45,ACTIVE_WORK_ORDER
N0001147,WO0000708,PLT-FL-DIG-CIR,P-DIG-CIR-01,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,Pump,A,2025-10-01,1,Fault,R1,1,Mechanical,PUMP_BEARING_VIBRATION,In Progress,Scheduled,5,45,ACTIVE_WORK_ORDER
N0001195,,PLT-RU-CAU-WLC,FV-CAU-WLC-01,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,Control Valve,A,2025-11-10,1,Fault,R1,1,Valves,VALVE_STICTION,Open,,,5,OPEN_NOTIFICATION
N0001196,,PLT-FL-DRY-HYD,HPU-DRY-HYD-01,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,Hydraulic Power Unit,A,2025-11-10,1,Fault,R1,1,Hydraulics,HYD_PRESS_INSTABILITY,Open,,,5,OPEN_NOTIFICATION
N0001197,WO0000738,PLT-FL-DRY-DRS,M-DRY-DRS-01,Fiber Line,Drying,SYS-FL-DRY-DRS,Dryer Section,Motor,A,2025-11-10,1,Fault,R1,1,Lubrication,LOW_LUBE_LEVEL,In Progress,Created,0,5,ACTIVE_WORK_ORDER
N0001198,,PLT-FL-DIG-CIR,P-DIG-CIR-01,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,Pump,A,2025-11-10,1,Fault,R1,1,Mechanical,PUMP_BEARING_VIBRATION,Open,,,5,OPEN_NOTIFICATION
N0001119,WO0000685,PLT-RU-UTL-BFW,PT-UTL-BFW-01,Recovery & Utilities,Utilities,SYS-RU-UTL-BFW,Boiler Feedwater,Pressure Transmitter,A,2025-09-11,2,Defect almost failure,R2,2,Instrumentation,CALIBRATION_DEVIATION,In Progress,Created,4,65,ACTIVE_WORK_ORDER
N0001187,,PLT-RU-UTL-AIR,PT-UTL-AIR-01,Recovery & Utilities,Utilities,SYS-RU-UTL-AIR,Compressed Air,Pressure Transmitter,A,2025-11-05,2,Defect almost failure,R2,2,Instrumentation,INTERMITTENT_SIGNAL,Open,,,10,OPEN_NOTIFICATION
N0001193,WO0000736,PLT-RU-UTL-ELD,CB-UTL-ELD-01,Recovery & Utilities,Utilities,SYS-RU-UTL-ELD,Electrical Distribution,Circuit Breaker,A,2025-11-09,2,Defect almost failure,R2,2,Electrical,TERMINAL_HEATING,In Progress,Created,2,6,ACTIVE_WORK_ORDER
N0001148,WO0000709,PLT-FL-BLE-STW,M-BLE-STW-01,Fiber Line,Bleaching,SYS-FL-BLE-STW,Stage Washing,Motor,B,2025-10-03,2,Defect almost failure,R4,4,Electrical,INSULATION_DEGRADATION,In Progress,Released,2,43,ACTIVE_WORK_ORDER
N0001167,WO0000720,PLT-FL-DRY-LUB,P-DRY-LUB-01,Fiber Line,Drying,SYS-FL-DRY-LUB,Lubrication System,Lubrication Pump,B,2025-10-19,2,Defect almost failure,R4,4,Lubrication,OIL_DEGRADATION,In Progress,Scheduled,3,27,ACTIVE_WORK_ORDER
N0001118,,PLT-RU-RB-FWS,FV-RB-FWS-01,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-FWS,Feedwater System,Control Valve,A,2025-09-10,3,Defect,R5,5,Instrumentation,ACTUATOR_LEAKAGE,Open,,,66,OPEN_NOTIFICATION
N0001155,,PLT-FL-DRY-PMF,FV-DRY-PMF-01,Fiber Line,Drying,SYS-FL-DRY-PMF,Pulp Machine Feed,Control Valve,A,2025-10-09,3,Defect,R5,5,Valves,ACTUATOR_LEAKAGE,Open,,,37,OPEN_NOTIFICATION
N0001160,,PLT-FL-DRY-PRS,HY-DRY-PRS-01,Fiber Line,Drying,SYS-FL-DRY-PRS,Press Section,Hydraulic Actuator,A,2025-10-14,3,Defect,R5,5,Hydraulics,HYD_INTERNAL_LEAKAGE,Open,,,32,OPEN_NOTIFICATION
N0001162,WO0000717,PLT-FL-DIG-DIS,P-DIG-DIS-01,Fiber Line,Digester,SYS-FL-DIG-DIS,Digester Discharge,Pump,A,2025-10-16,3,Defect,R5,5,Mechanical,BEARING_TEMPERATURE,In Progress,Created,1,30,ACTIVE_WORK_ORDER
N0001180,WO0000728,PLT-RU-LIM-DRV,GB-LIM-DRV-01,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-DRV,Kiln Drive,Gearbox,A,2025-11-01,3,Defect,R5,5,Mechanical,OIL_DEGRADATION,In Progress,Released,1,14,ACTIVE_WORK_ORDER
N0001182,WO0000729,PLT-FL-DRY-PRS,DRV-DRY-PRS-01,Fiber Line,Drying,SYS-FL-DRY-PRS,Press Section,Drive,A,2025-11-02,3,Defect,R5,5,Condition Monitoring,INSULATION_DEGRADATION,In Progress,Released,2,13,ACTIVE_WORK_ORDER
N0001186,WO0000731,PLT-FL-DIG-CHP,CNV-DIG-CHP-01,Fiber Line,Digester,SYS-FL-DIG-CHP,Chip Feeding,Conveyor,A,2025-11-05,3,Defect,R5,5,Condition Monitoring,PROCESS_RESTRICTION,In Progress,Scheduled,1,10,ACTIVE_WORK_ORDER
