bad_actor_rank,asset_id,functional_location,island,area,system_id,system_name,asset_type,asset_criticality,production_loss_event_count,total_production_loss_adt,average_loss_adt,maximum_loss_adt,maintenance_notification_count,confirmed_defect_count,recurrent_notification_count,active_backlog_count,highest_active_risk_class,highest_active_risk_sort_order,known_untreated_loss_event_count,known_untreated_loss_adt,post_maintenance_recurrence_event_count,post_maintenance_recurrence_loss_adt
1,FV-CAU-WLC-01,PLT-RU-CAU-WLC,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,Control Valve,A,6,17583.42,2930.57,6096.60,11,11,10,2,R1,1,6,17583.42,0,0.00
2,P-DIG-CIR-01,PLT-FL-DIG-CIR,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,Pump,A,6,13907.07,2317.85,4236.08,11,11,10,2,R1,1,6,13907.07,0,0.00
3,P-RB-BLF-01,PLT-RU-RB-BLF,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-BLF,Black Liquor Firing,Pump,A,6,9010.94,1501.82,3340.00,7,7,0,0,,,1,2639.04,0,0.00
4,HPU-DRY-HYD-01,PLT-FL-DRY-HYD,Fiber Line,Drying,SYS-FL-DRY-HYD,Hydraulic System,Hydraulic Power Unit,A,6,8192.60,1365.43,4517.16,11,11,10,2,R1,1,6,8192.60,0,0.00
5,P-EVA-CIR-01,PLT-RU-EVA-CIR,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,Pump,B,3,1915.47,638.49,1380.20,13,13,3,0,,,1,47.14,1,1380.20
6,AG-BLE-TWR-01,PLT-FL-BLE-TWR,Fiber Line,Bleaching,SYS-FL-BLE-TWR,Bleaching Towers,Agitator,B,3,1857.41,619.14,995.86,6,6,0,0,,,1,995.86,0,0.00
7,DRV-LIM-DRV-01,PLT-RU-LIM-DRV,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-DRV,Kiln Drive,Drive,A,2,1703.34,851.67,1424.57,10,5,0,0,,,1,1424.57,0,0.00
8,PV-EVA-CIR-01,PLT-RU-EVA-CIR,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,Control Valve,B,6,1389.40,231.57,482.62,6,5,0,0,,,2,349.10,1,32.31
9,M-CAU-LMH-01,PLT-RU-CAU-LMH,Recovery & Utilities,Causticizing,SYS-RU-CAU-LMH,Lime Mud Handling,Motor,B,2,1316.00,658.00,1268.60,5,4,2,0,,,0,0.00,0,0.00
10,M-BLE-DOS-01,PLT-FL-BLE-DOS,Fiber Line,Bleaching,SYS-FL-BLE-DOS,Chemical Dosing,Motor,C,2,1293.38,646.69,1067.54,6,6,1,0,,,1,225.84,0,0.00
11,P-BLE-DOS-01,PLT-FL-BLE-DOS,Fiber Line,Bleaching,SYS-FL-BLE-DOS,Chemical Dosing,Dosing Pump,B,2,1240.43,620.22,914.32,5,3,0,0,,,0,0.00,0,0.00
12,PSHH-DIG-BLC-01,PLT-FL-DIG-BLC,Fiber Line,Digester,SYS-FL-DIG-BLC,Blow / Pressure Control,Pressure Switch,A,3,1214.39,404.80,988.70,6,6,0,0,,,0,0.00,0,0.00
13,VAC-EVA-VAC-01,PLT-RU-EVA-VAC,Recovery & Utilities,Evaporation,SYS-RU-EVA-VAC,Vacuum System,Vacuum System,B,2,1211.94,605.97,710.29,4,4,0,0,,,0,0.00,0,0.00
14,CB-UTL-ELD-01,PLT-RU-UTL-ELD,Recovery & Utilities,Utilities,SYS-RU-UTL-ELD,Electrical Distribution,Circuit Breaker,A,4,1159.11,289.78,294.69,10,9,0,1,R2,2,0,0.00,0,0.00
15,M-EVA-CIR-01,PLT-RU-EVA-CIR,Recovery & Utilities,Evaporation,SYS-RU-EVA-CIR,Evaporator Circulation,Motor,B,4,1097.63,274.41,772.72,7,6,1,0,,,1,120.02,0,0.00
16,PV-DRY-DRS-01,PLT-FL-DRY-DRS,Fiber Line,Drying,SYS-FL-DRY-DRS,Dryer Section,Control Valve,A,2,1091.33,545.67,927.52,4,3,0,0,,,2,1091.33,0,0.00
17,FV-DIG-CIR-01,PLT-FL-DIG-CIR,Fiber Line,Digester,SYS-FL-DIG-CIR,Cooking Circulation,Control Valve,A,2,1000.65,500.33,959.27,6,4,0,0,,,0,0.00,0,0.00
18,DV-LIM-IDF-01,PLT-RU-LIM-IDF,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-IDF,Induced Draft,Damper,B,7,983.05,140.44,389.97,7,6,2,0,,,3,397.37,0,0.00
19,FV-CAU-GLH-01,PLT-RU-CAU-GLH,Recovery & Utilities,Causticizing,SYS-RU-CAU-GLH,Green Liquor Handling,Control Valve,B,1,947.49,947.49,947.49,5,4,1,0,,,0,0.00,1,947.49
20,ZS-DIG-CHP-01,PLT-FL-DIG-CHP,Fiber Line,Digester,SYS-FL-DIG-CHP,Chip Feeding,Position Switch,B,3,893.96,297.99,529.39,5,4,2,0,,,0,0.00,1,146.22
21,FT-BLE-DOS-01,PLT-FL-BLE-DOS,Fiber Line,Bleaching,SYS-FL-BLE-DOS,Chemical Dosing,Flow Transmitter,B,3,847.19,282.40,557.78,8,5,2,0,,,1,266.24,0,0.00
22,XV-DIG-CHP-01,PLT-FL-DIG-CHP,Fiber Line,Digester,SYS-FL-DIG-CHP,Chip Feeding,On/Off Valve,B,2,802.24,401.12,527.68,8,6,2,0,,,1,274.56,0,0.00
23,FT-DIG-IMP-01,PLT-FL-DIG-IMP,Fiber Line,Digester,SYS-FL-DIG-IMP,Impregnation,Flow Transmitter,B,1,737.12,737.12,737.12,4,3,0,1,R7,7,0,0.00,1,737.12
24,P-UTL-BFW-01,PLT-RU-UTL-BFW,Recovery & Utilities,Utilities,SYS-RU-UTL-BFW,Boiler Feedwater,Pump,A,2,735.77,367.89,575.63,5,5,0,0,,,1,160.14,0,0.00
25,PT-UTL-STM-01,PLT-RU-UTL-STM,Recovery & Utilities,Utilities,SYS-RU-UTL-STM,Steam Distribution,Pressure Transmitter,A,1,714.02,714.02,714.02,3,2,0,0,,,1,714.02,0,0.00
26,M-RB-SMT-01,PLT-RU-RB-SMT,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SMT,Smelt Handling,Motor,B,1,703.52,703.52,703.52,7,6,0,0,,,0,0.00,0,0.00
27,CNV-DIG-CHP-01,PLT-FL-DIG-CHP,Fiber Line,Digester,SYS-FL-DIG-CHP,Chip Feeding,Conveyor,A,1,690.46,690.46,690.46,5,5,2,1,R5,5,0,0.00,0,0.00
28,PT-DIG-BLC-01,PLT-FL-DIG-BLC,Fiber Line,Digester,SYS-FL-DIG-BLC,Blow / Pressure Control,Pressure Transmitter,A,3,622.04,207.35,325.15,10,6,1,0,,,0,0.00,0,0.00
29,FT-RB-AIR-01,PLT-RU-RB-AIR,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-AIR,Combustion Air,Flow Transmitter,B,3,601.14,200.38,374.21,7,4,1,0,,,0,0.00,1,374.21
30,FV-CAU-REA-01,PLT-RU-CAU-REA,Recovery & Utilities,Causticizing,SYS-RU-CAU-REA,Causticizing Reactors,Control Valve,B,2,590.34,295.17,439.53,6,6,3,0,,,1,439.53,0,0.00
31,P-EVA-CON-01,PLT-RU-EVA-CON,Recovery & Utilities,Evaporation,SYS-RU-EVA-CON,Condensate System,Pump,B,4,567.81,141.95,190.39,1,1,0,0,,,0,0.00,1,152.07
32,TT-DRY-DRS-01,PLT-FL-DRY-DRS,Fiber Line,Drying,SYS-FL-DRY-DRS,Dryer Section,Temperature Transmitter,B,2,565.84,282.92,496.71,10,9,4,0,,,1,69.13,1,496.71
33,SBL-RB-SBL-01,PLT-RU-RB-SBL,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SBL,Sootblowing,Sootblower,B,2,540.14,270.07,282.96,5,3,1,0,,,1,282.96,0,0.00
34,LT-CAU-LMH-01,PLT-RU-CAU-LMH,Recovery & Utilities,Causticizing,SYS-RU-CAU-LMH,Lime Mud Handling,Level Transmitter,C,1,527.26,527.26,527.26,6,5,0,0,,,0,0.00,0,0.00
35,PT-UTL-BFW-01,PLT-RU-UTL-BFW,Recovery & Utilities,Utilities,SYS-RU-UTL-BFW,Boiler Feedwater,Pressure Transmitter,A,2,513.47,256.74,374.39,7,5,0,1,R2,2,1,139.08,0,0.00
36,M-UTL-PWT-01,PLT-RU-UTL-PWT,Recovery & Utilities,Utilities,SYS-RU-UTL-PWT,Process Water,Motor,B,3,479.01,159.67,287.56,7,6,1,0,,,0,0.00,0,0.00
37,TT-RB-STM-01,PLT-RU-RB-STM,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-STM,Steam / Pressure Control,Temperature Transmitter,B,3,467.26,155.75,213.85,7,7,0,0,,,0,0.00,2,253.41
38,P-UTL-PWT-01,PLT-RU-UTL-PWT,Recovery & Utilities,Utilities,SYS-RU-UTL-PWT,Process Water,Pump,B,2,410.44,205.22,252.29,5,2,0,1,R7,7,0,0.00,0,0.00
39,M-LIM-IDF-01,PLT-RU-LIM-IDF,Recovery & Utilities,Lime Kiln,SYS-RU-LIM-IDF,Induced Draft,Motor,A,1,399.69,399.69,399.69,7,7,1,0,,,0,0.00,0,0.00
40,M-CAU-WLC-01,PLT-RU-CAU-WLC,Recovery & Utilities,Causticizing,SYS-RU-CAU-WLC,White Liquor Clarification,Motor,A,1,392.60,392.60,392.60,8,7,0,0,,,0,0.00,0,0.00
41,M-RB-FWS-01,PLT-RU-RB-FWS,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-FWS,Feedwater System,Motor,A,2,383.47,191.74,346.13,5,4,1,0,,,0,0.00,0,0.00
42,P-DRY-LUB-01,PLT-FL-DRY-LUB,Fiber Line,Drying,SYS-FL-DRY-LUB,Lubrication System,Lubrication Pump,B,2,380.38,190.19,366.01,9,7,0,2,R4,4,0,0.00,0,0.00
43,M-BLE-CHM-01,PLT-FL-BLE-CHM,Fiber Line,Bleaching,SYS-FL-BLE-CHM,Chemical Mixing,Motor,B,3,365.23,121.74,180.02,7,6,0,1,R7,7,0,0.00,1,136.20
44,LT-EVA-CON-01,PLT-RU-EVA-CON,Recovery & Utilities,Evaporation,SYS-RU-EVA-CON,Condensate System,Level Transmitter,C,2,360.61,180.31,270.79,5,4,0,1,R9,9,0,0.00,0,0.00
45,AG-RB-SMT-01,PLT-RU-RB-SMT,Recovery & Utilities,Recovery Boiler,SYS-RU-RB-SMT,Smelt Handling,Agitator,B,1,359.51,359.51,359.51,5,5,0,0,,,0,0.00,1,359.51
46,M-DRY-FOR-01,PLT-FL-DRY-FOR,Fiber Line,Drying,SYS-FL-DRY-FOR,Forming Section,Motor,A,1,355.57,355.57,355.57,7,6,1,0,,,0,0.00,0,0.00
47,FT-EVA-BLF-01,PLT-RU-EVA-BLF,Recovery & Utilities,Evaporation,SYS-RU-EVA-BLF,Black Liquor Feed,Flow Transmitter,B,1,347.04,347.04,347.04,7,4,1,1,R7,7,1,347.04,0,0.00
48,PT-EVA-VAC-01,PLT-RU-EVA-VAC,Recovery & Utilities,Evaporation,SYS-RU-EVA-VAC,Vacuum System,Pressure Transmitter,B,2,339.05,169.53,291.09,7,6,0,0,,,2,339.05,0,0.00
49,M-WSH-KNR-01,PLT-FL-WSH-KNR,Fiber Line,Washing & Screening,SYS-FL-WSH-KNR,Knot Removal,Motor,B,2,316.82,158.41,262.64,7,3,1,0,,,2,316.82,0,0.00
